"","bigram","n","percentage"
"134","E5_A5",2,0.0258
"135","E7_D5",2,0.0258
"136","F#5_A5",2,0.0258
"137","F4_Bb4",2,0.0258
"138","F5_A5",2,0.0258
"139","F5_Bb5",2,0.0258
"140","G3 D4_G4",2,0.0258
"141","G4_Bb5",2,0.0258
"142","G4_C5",2,0.0258
"143","G4_E7",2,0.0258
"144","G4_G3 D4",2,0.0258
"145","G5_A4",2,0.0258
"146","A4_A5",1,0.0129
"147","A5_A4",1,0.0129
"148","A5_G#5",1,0.0129
"149","Bb4_Eb5",1,0.0129
"150","C#5_F5",1,0.0129
"151","C#5_G4",1,0.0129
"152","C5_G5",1,0.0129
"153","D3_D4",1,0.0129
"154","D4_A4",1,0.0129
"155","D4_D3",1,0.0129
"156","D4_F5",1,0.0129
"157","F5_G#5",1,0.0129
"158","G#5_A5",1,0.0129
"159","G#5_F5",1,0.0129
"160","G3 D4 Bb4 G5_C#5",1,0.0129
"161","G3 D4 Bb4 G5_D4",1,0.0129
"162","G3 D4 Bb4 G5_F#5",1,0.0129
"163","G3_A4",1,0.0129
"164","G3_F#5",1,0.0129
"165","G3_G4",1,0.0129
"166","G3_G5",1,0.0129
"167","G4_C#6",1,0.0129
"168","G4_NA",1,0.0129
"169","G5_Eb5",1,0.0129
