"","bigram","n","percentage"
"79","Bb4_D5",12,0.107
"80","G5_C5",12,0.107
"81","G5_Eb5",12,0.107
"82","A4_A4",11,0.0979
"83","F5_C5",11,0.0979
"84","G3_G4",11,0.0979
"85","Bb4_C5",10,0.089
"86","C5_G5",10,0.089
"87","D5_E5",10,0.089
"88","F4_D5",10,0.089
"89","F5_Ab5",10,0.089
"90","A5_G5",9,0.0801
"91","Eb5_G5",9,0.0801
"92","F#5_Eb5",9,0.0801
"93","F5_D5",9,0.0801
"94","G4_F5",9,0.0801
"95","A4_F4",8,0.0712
"96","D5_C#5",7,0.0623
"97","D5_F#5",7,0.0623
"98","Eb5_F#5",7,0.0623
"99","Eb5_G4",7,0.0623
"100","G4_E4",7,0.0623
"101","Ab5_F5",6,0.0534
"102","C#5_Bb4",6,0.0534
"103","G5_F4",6,0.0534
"104","B4_F5",5,0.0445
"105","Bb4_C#5",5,0.0445
"106","Bb5_A5",5,0.0445
"107","C#5_D5",5,0.0445
"108","C4_C4",5,0.0445
"109","E5_Eb5",5,0.0445
"110","F#5_F5",5,0.0445
"111","G4_F#5",5,0.0445
"112","G5_Bb5",5,0.0445
"113","A4_C4",4,0.0356
"114","Ab5_B5",4,0.0356
"115","B4_Eb5",4,0.0356
"116","B5_Ab5",4,0.0356
"117","Bb5_Ab5",4,0.0356
"118","C#5_C#5",4,0.0356
"119","C5_Ab5",4,0.0356
"120","E4_G4",4,0.0356
"121","F#5_A5",4,0.0356
"122","G4_Bb4",4,0.0356
"123","G4_C4",4,0.0356
"124","B4_A4",3,0.0267
"125","C4_A4",3,0.0267
"126","C4_Ab4",3,0.0267
"127","C5_C4",3,0.0267
"128","C5_E5",3,0.0267
"129","D5_Bb5",3,0.0267
"130","E5_E5",3,0.0267
"131","F4_Eb5",3,0.0267
"132","G4_Ab5",3,0.0267
"133","G5_D4",3,0.0267
"134","A5_Ab5",2,0.0178
"135","Ab5_Bb5",2,0.0178
"136","B4_G5",2,0.0178
"137","B5_C6",2,0.0178
"138","B5_G5",2,0.0178
"139","Bb4_F4",2,0.0178
"140","C#5_E5",2,0.0178
"141","C4_E4",2,0.0178
"142","C6_B5",2,0.0178
"143","C6_D6",2,0.0178
"144","D4_D5",2,0.0178
"145","D5_Bb4",2,0.0178
"146","D5_D4",2,0.0178
"147","D5_F4",2,0.0178
"148","D6_C6",2,0.0178
"149","E5_G4",2,0.0178
"150","F#4_G4",2,0.0178
"151","F#5_Ab5",2,0.0178
"152","F#5_D5",2,0.0178
"153","F#5_F#5",2,0.0178
"154","F4_Bb4",2,0.0178
"155","F5_Bb4",2,0.0178
"156","F5_G4",2,0.0178
"157","G3_Ab4",2,0.0178
"158","G3_Ab5",2,0.0178
"159","G3_D5",2,0.0178
"160","G4 B4_D4",2,0.0178
"161","G4_E5",2,0.0178
"162","G4_G4 B4",2,0.0178
"163","G5_A5",2,0.0178
"164","A3_G4",1,0.0089
"165","A4_B4",1,0.0089
"166","A4_C#5",1,0.0089
"167","A4_D5",1,0.0089
"168","Ab4_E4",1,0.0089
"169","Ab4_F5",1,0.0089
"170","Ab5_Ab5",1,0.0089
"171","B4_F#5",1,0.0089
"172","Bb4_Eb5",1,0.0089
"173","Bb5_G5",1,0.0089
"174","C4_C5",1,0.0089
"175","C4_D4",1,0.0089
"176","C4_G4",1,0.0089
"177","C5_B5",1,0.0089
"178","D4_E4",1,0.0089
"179","D5_Ab4",1,0.0089
"180","D5_F#4",1,0.0089
"181","E4_C4",1,0.0089
"182","E5_C5",1,0.0089
"183","E5_F#5",1,0.0089
"184","E5_G5",1,0.0089
"185","Eb5_E5",1,0.0089
"186","G3 D4 B4 G5_B4",1,0.0089
"187","G3_C5",1,0.0089
"188","G3_F5",1,0.0089
"189","G4_A3",1,0.0089
"190","G4_B5",1,0.0089
"191","G4_F#4",1,0.0089
"192","G4_G3 D4 B4 G5",1,0.0089
"193","G4_NA",1,0.0089
"194","G5_C4",1,0.0089
"195","G5_E4",1,0.0089
